Location,Density /km2,Density /sq mi,Population,Area km2,Area sq mi,Unnamed: 6
Macau (China),21000.0,54000.0,704150,33.0,13.0,
Monaco,18000.0,47000.0,36298,2.0,0.77,[3]
Singapore,8250.0,21400.0,6014723,729.0,281.0,
Hong Kong (China),6725.0,17420.0,7491609,1114.0,430.0,
Gaza Strip (Palestine),5749.0,14890.0,2098389,365.0,141.0,[c] [6]
Gibraltar (UK),4800.0,12000.0,32688,6.8,2.6,[7]
Bahrain,1910.0,4900.0,1485510,778.0,300.0,
Maldives,1750.0,4500.0,523787,300.0,120.0,
Malta,1700.0,4400.0,535065,315.0,122.0,
Vatican City,1600.0,4100.0,764,0.49,0.19,[d]
Sint Maarten (NL),1300.0,3400.0,44222,34.0,13.0,
Bermuda (UK),1200.0,3100.0,64069,54.0,21.0,
Bangladesh,1165.0,3020.0,172954319,148460.0,57320.0,
Guernsey (UK),990.0,2600.0,63544,64.0,25.0,
Jersey (UK),964.0,2500.0,111803,116.0,45.0,
Mayotte (France),913.0,2360.0,335995,368.0,142.0,
Palestine,892.0,2310.0,5371230,6020.0,2320.0,[e]
Taiwan,676.0,1750.0,23923277,35410.0,13670.0,
Mauritius,657.0,1700.0,1300557,1979.0,764.0,
Barbados,654.0,1690.0,281996,431.0,166.0,
Nauru,610.0,1600.0,12780,21.0,8.1,
Saint Martin (France),610.0,1600.0,32077,53.0,20.0,
Aruba (NL),590.0,1500.0,106277,180.0,69.0,
San Marino,550.0,1400.0,33642,61.0,24.0,
Rwanda,535.0,1390.0,14094683,26338.0,10169.0,
South Korea,516.0,1340.0,51784059,100413.0,38770.0,
Lebanon,512.0,1330.0,5353930,10452.0,4036.0,
Saint Barthélemy (France),500.0,1300.0,10994,22.0,8.5,
Burundi,476.0,1230.0,13238559,27834.0,10747.0,
Tuvalu,440.0,1100.0,11396,26.0,10.0,
India,435.0,1130.0,1428627663,3287263.0,1269219.0,
Curaçao (NL),433.0,1120.0,192077,444.0,171.0,
Netherlands,424.0,1100.0,17618299,41543.0,16040.0,
Haiti,423.0,1100.0,11724764,27750.0,10710.0,
Israel,416.0,1080.0,9174520,22072.0,8522.0,
Réunion (France),391.0,1010.0,981796,2510.0,970.0,
Philippines,391.0,1010.0,117337368,300000.0,120000.0,
Belgium,383.0,990.0,11686140,30528.0,11787.0,
Comoros,381.0,990.0,852075,2235.0,863.0,
Grenada,366.0,950.0,126184,345.0,133.0,
Puerto Rico (US),361.0,930.0,3205691,8868.0,3424.0,
Martinique (France),337.0,870.0,366981,1090.0,420.0,
Sri Lanka,334.0,870.0,21893579,65610.0,25330.0,
Japan,326.0,840.0,123294513,377930.0,145920.0,
Guam (US),320.0,830.0,172952,541.0,209.0,
El Salvador,303.0,780.0,6364943,21041.0,8124.0,
Pakistan,302.0,780.0,240485658,796095.0,307374.0,
Trinidad and Tobago,299.0,770.0,1534937,5127.0,1980.0,
Vietnam,298.0,770.0,98858950,331340.0,127930.0,
Saint Lucia,293.0,760.0,180251,616.0,238.0,
U.S. Virgin Islands (US),285.0,740.0,98750,347.0,134.0,
United Kingdom,277.0,720.0,67736802,244376.0,94354.0,
Saint Vincent and the Grenadines,267.0,690.0,103699,389.0,150.0,
Cayman Islands (UK),263.0,680.0,69310,264.0,102.0,
Jamaica,257.0,670.0,2825544,10991.0,4244.0,
Luxembourg,253.0,660.0,654768,2586.0,998.0,
Liechtenstein,247.0,640.0,39585,160.0,62.0,
Gambia,246.0,640.0,2773168,11295.0,4361.0,
Nigeria,249.0,640.0,230842743,923768.0,356669.0,[12]
Kuwait,242.0,630.0,4310108,17818.0,6880.0,
Guadeloupe (France),242.0,630.0,395839,1639.0,633.0,
São Tomé and Príncipe,241.0,620.0,231856,964.0,372.0,
Seychelles,236.0,610.0,107660,457.0,176.0,
Qatar,233.0,600.0,2716391,11637.0,4493.0,
Germany,233.0,600.0,83294633,357581.0,138063.0,
Dominican Republic,233.0,600.0,11332973,48671.0,18792.0,
Marshall Islands,232.0,600.0,41996,181.0,70.0,
Malawi,221.0,570.0,20931751,94552.0,36507.0,
American Samoa (US),221.0,570.0,43915,199.0,77.0,
North Korea,217.0,560.0,26160822,120538.0,46540.0,
Antigua and Barbuda,213.0,550.0,94298,442.0,171.0,
Switzerland,213.0,550.0,8796669,41291.0,15943.0,
Nepal,210.0,540.0,30896590,147181.0,56827.0,
British Virgin Islands (UK),209.0,540.0,31538,151.0,58.0,
Uganda,201.0,520.0,48582334,241550.0,93260.0,
Italy,195.0,510.0,58870763,302068.0,116629.0,
Kiribati,184.0,480.0,133515,726.0,280.0,
Saint Kitts and Nevis,183.0,470.0,47755,261.0,101.0,
Anguilla (UK),175.0,450.0,15900,91.0,35.0,
Andorra,171.0,440.0,80088,468.0,181.0,
Guatemala,166.0,430.0,18092026,108889.0,42042.0,
Micronesia,164.0,420.0,115224,702.0,271.0,
Togo,159.0,410.0,9053799,56785.0,21925.0,
Tokelau (NZ),158.0,410.0,1893,12.0,4.6,
